,CustomerID,AccountBalance,LastLogin,Name,Age,Address,TransactionID,Amount,Timestamp,MerchantID,Category,MerchantName,Location,TransactionAmount,AnomalyScore,SuspiciousFlag,FraudIndicator
0,1001,9507.27205955636,2022-01-01,Customer 1001,54,Address 1001,787,33.670626213973335,2022-02-02 18:00:00,2627,Food,Merchant 2627,Location 2627,87.3754439319368,0.0309210414925036,0,0
1,1003,1715.321988918382,2022-01-03,Customer 1003,40,Address 1003,641,30.9802390482118,2022-01-27 16:00:00,2496,Travel,Merchant 2496,Location 2496,46.04417197679019,0.9615520952201028,0,0
2,1004,3101.509133840253,2022-01-04,Customer 1004,30,Address 1004,450,11.167088142720043,2022-01-19 17:00:00,2184,Other,Merchant 2184,Location 2184,85.08506109754073,0.5258094625332785,0,0
3,1004,3101.509133840253,2022-01-04,Customer 1004,30,Address 1004,921,45.84978420861537,2022-02-08 08:00:00,2111,Other,Merchant 2111,Location 2111,36.53471969141,0.6521879103565174,0,0
4,1005,5405.766913696731,2022-01-05,Customer 1005,46,Address 1005,599,81.80865066013159,2022-01-25 22:00:00,2191,Other,Merchant 2191,Location 2191,82.85202509457709,0.6614929579114033,0,0
5,1007,2957.760054296896,2022-01-07,Customer 1007,33,Address 1007,77,41.21158341874049,2022-01-04 04:00:00,2753,Travel,Merchant 2753,Location 2753,66.15215047728688,0.2178905074792401,0,0
6,1008,8303.773585052018,2022-01-08,Customer 1008,21,Address 1008,468,91.1696888971712,2022-01-20 11:00:00,2468,Retail,Merchant 2468,Location 2468,96.0326567388867,0.3267347500625877,0,0
7,1009,5359.747810190935,2022-01-09,Customer 1009,32,Address 1009,294,35.15145130726461,2022-01-13 05:00:00,2253,Other,Merchant 2253,Location 2253,16.92260058654751,0.4012329535232043,0,0
8,1009,5359.747810190935,2022-01-09,Customer 1009,32,Address 1009,914,96.52314248884213,2022-02-08 01:00:00,2701,Other,Merchant 2701,Location 2701,94.93170387030288,0.856704244071713,0,0
9,1012,2706.148887561668,2022-01-12,Customer 1012,45,Address 1012,102,61.65899469709107,2022-01-05 05:00:00,2736,Online,Merchant 2736,Location 2736,97.48688179907796,0.2645800599183321,0,0
10,1012,2706.148887561668,2022-01-12,Customer 1012,45,Address 1012,716,81.243458802052,2022-01-30 19:00:00,2400,Retail,Merchant 2400,Location 2400,38.33468351103839,0.9293811480336908,0,0
11,1014,9922.29197304782,2022-01-14,Customer 1014,27,Address 1014,945,42.60535294784076,2022-02-09 08:00:00,2568,Retail,Merchant 2568,Location 2568,58.05162091309303,0.6185239469195336,0,0
12,1016,8612.857297188031,2022-01-16,Customer 1016,22,Address 1016,545,68.36571539188091,2022-01-23 16:00:00,2264,Other,Merchant 2264,Location 2264,46.78951927456144,0.8104288293091033,0,0
13,1017,5179.000965050205,2022-01-17,Customer 1017,21,Address 1017,142,74.95521382139967,2022-01-06 21:00:00,2919,Other,Merchant 2919,Location 2919,50.497451261542906,0.5218400263257464,0,0
14,1017,5179.000965050205,2022-01-17,Customer 1017,21,Address 1017,265,41.54205962794481,2022-01-12 00:00:00,2055,Food,Merchant 2055,Location 2055,29.782455750319624,0.4933083192807312,0,0
15,1017,5179.000965050205,2022-01-17,Customer 1017,21,Address 1017,792,72.01022436079609,2022-02-02 23:00:00,2173,Retail,Merchant 2173,Location 2173,26.457402340765253,0.927048823145471,0,0
